"id","nid","title","body","author_name","created_time","updated_time","event_type","name_of_speaker_affiliation","title_of_seminar_conference","venu","start_time","end_time","timezone"
1,"875","Complex Fluids Symposium","Start: 21 Feb 2008 - 00:00 End: 22 Feb 2008 - 23:59 The two day symposium will complement the course by providing invited lectures on specific aspects of current research in complex fluids. Three important benefits of this workshop may be envisioned. First  it is hoped that the participants will be encouraged to initiate teaching and research in the general area of complex fluids in their respective institutions. Secondly  discussion with the experts could assist in resolving difficulties in an ongoing project. Finally  there will be opportunities to nucleate new research collaborations between the participants and the experts.","meena_m_n","18 Feb 2009 - 10:48","18 Feb 2009 - 10:48","Conference/Symposium","Invited Speakers","Symposium on Rheology of Complex Fluids","IRCC Seminar Hall","21 Feb 2008 - 00:00","22 Feb 2008 - 23:59","185"
2,"5919","Prof. Noshir Pesika's Talk","Start: 30 Nov 2017 - 16:00 End: 30 Nov 2017 - 17:00 Title : Tuning Surface Forces and Interactions – from Mosquito Adhesion to Reversible Potential Dependent Friction Date & Time : Thursday  November 30 at 4pm Venue : Room 230  Chemical Engg Dept Abstract: In this talk  I will present some of our recent work  involving the adhesion of mosquitoes to surfaces.  Specifically  using  AFM force measurements  we are able to better understand the  interactions between the hierarchical micro- and nanoscale structures on  a mosquito foot and surfaces with different levels of roughness and  wetting properties. We show that the origin of the surface adhesion is  through van der Waals interactions  however  capillary forces can also  contribute to the overall adhesion when the opposing surface is  hydrophilic.  In the second project  I will show how the friction  between an AFM probe and a Au(111) surface under aqueous saline  solutions can be controlled reversibly by the surface electrical  potential.  We attribute this phenomenon to the highly viscous layer  (also referred to as ice-like water) of water that forms at the  electrode/electrolyte interface when anodic potentials are applied   which results in high friction (CoF = 3.1).  However  when cathodic  potentials are applied  the friction is lower (CoF = 0.12). Bio: Dr. Pesika is an Associate Professor in the Chemical and  Biomolecular Engineering department at Tulane University  New Orleans   Louisiana  USA. The overarching theme of his current research is the  development of smart materials; i.e.  materials that have been  judiciously designed (through surface chemistry or topography) to  perform a function when stimulated externally or offer enhanced  properties based on their design. His research group consists primarily  of experimentalists although his approach relies heavily on a  fundamental understanding of the underlying physics before the  development of applied smart materials. Examples of such materials  include biomimetic directional adhesives  anisotropic catalysts with  enhanced catalytic activity  novel oil dispersant formulations which  prevent oil from adhering to marine surfaces  and ultra-low friction  surfaces and lubricants formulations. The projects have been supported  by the National Science Foundation  Gulf of Mexico Research Initiative   and the Louisiana Board of Regents.","webmaster","27 Nov 2017 - 16:09","27 Nov 2017 - 16:13","Seminar/Talk","Prof. Noshir Pesika  Tulane University  USA","Tuning Surface Forces and Interactions – from Mosquito Adhesion  to Reversible Potential Dependent Friction","Room 230  Chemical Engg Dept","30 Nov 2017 - 16:00","30 Nov 2017 - 17:00","185"
3,"2818","Dr. Rahul's Talk","Start: 20 Jan 2011 - 16:00 End: 20 Jan 2011 - 17:30 Abstract: High performance computing (HPC) strategies can today be applied to petroleum-processing problems  including those in the domain of heterogeneous catalysis. Advances in ab-initio quantum chemistry codes (i.e. Density Functional Theory)  and the ability to parallelize calculations over hundreds of CPUs  allow us to evaluate kinetics and thermochemistry for reaction networks of practical interest. The Minimum Energy Pathway can be elucidated and further  calculations of vibrational-frequencies  pre-exponential-factors and entropies can be combined into a detailed microkinetic model. Fundamental chemical-insights into electronic structure  molecular geometry  and the identity of transition-states are also obtainable. The talk illustrates this computational approach using two industrially important problems: Fischer Tropsch Synthesis and bimetallic catalyst design.  Fischer-Tropsch Synthesis (FTS) is a promising gas-to-liquid (GTL) technology for the production of clean diesel from syngas. In spite of decades of extensive research  there is no consensus about mechanistic details and rate-determining-steps on FTS catalysts (Iron and Cobalt). We clarify the confounding issues using a strategic combination of experiments and modelling. Finally  we demonstrate how quantum-chemical methods can be used to perform systematic screening of bimetallic alloy-catalysts for the rational design of novel  poison-resistant catalysts. In both the problems discussed  the synergy between experimental techniques and computational approaches is the dominant theme. ","soumyakant","14 Jan 2011 - 11:53","14 Jan 2011 - 11:59","Seminar/Talk","Dr. Rahul Nabar  Deptt of Chemical and Biological Engineering  University of Wisconsin-Madison.","Application of quantum mechanical calculations to selected problems in catalytic petroleum processing.","Creativity Hall (Room No 118)","20 Jan 2011 - 16:00","20 Jan 2011 - 17:30","185"
4,"5632","Dr. Sujit S Jogwar's Talk","Start: 26 May 2016 - 17:00 End: 26 May 2016 - 18:00 Title: Design  Scheduling & Control of Energy-integrated Process Systems Date: Thursday  26th May  1700-1800 Venue: Room 118  Chemical Engineering Abstract: Energy integration  motivated by the high cost and limited availability of energy  is a key feature of modern process industries. Energy-integrated networks offer signicant cost ben- ets  however are quite dicult to operate and control due to strong interactions among the individual units and network-level dynamics. Eectively controlling these integrated plants is a critical link to the economic viability  and the energy and environmental sustainability of the chemical and energy supply chains. At the same time  design and scheduling (in the context of batch processes) have strong implications on the controllability and eectiveness of these integrated systems. Using a simple reactor-heat exchanger system as a motivating example  it is shown that the underlying energy ow structure of the integrated networks play a key role in the design of an ecient control system. Specically  in the limiting case of tight energy integration  such networks exhibit dynamic time scale multiplicity and can thus be cast in to a hierarchical control architecture. Considering the batch (operational mode) equivalent of this reactor- heat exchanger system  similar time scale multiplicity is demonstrated; albeit with dierent dynamic characteristics. For both the operational modes  the hierarchical control strategy constructively uses the interacting nature of these systems and helps simplify the underlying control problem. Eectiveness of energy integration in batch processes strongly depends on strict adherence to the designed optimal schedule. In this context  it is essential that the integrated designs are robust to schedule delays. To this end  mixed (combined direct and indirect) integration strategy is used to design robust schedules. An iterative design method is presented to achieve mixed integration which results in improved energy savings while maintaining temperature and time constraints. Ongoing work for improving robustness and handling trade-o between capital and operating cost is highlighted. In a dierent vein  design of integrated networks is approached as an `inverse' of the control problem highlighted earlier. While the control problem requires decomposition of the integrated structure  the design problem aims at combining the prototype structures to obtain desired control properties. Lastly  the interactions in integrated networks are eectively used to obtain optimal schedules. In general  computationally expensive mixed-integer optimization is required to schedule integrated batch systems. In this work  it is shown that the optimal schedules of integrated networks follow specic patterns. These patterns can be used to generate optimal schedules with an order of magnitude reduction in the computational time. Additionally  an interesting relationship between scheduling horizon and storage requirement (design aspect) is highlighted. Overall  the presented work demonstrates that interactions in integrated systems are not always undesirable and can facilitate design  control and scheduling. The developed tools are generic in nature and nd application to a wide range of energy-integrated congurations ranging from conventional systems to emerging technologies. Bio: I received my undergraduate degree (Bachelor of Chemical Engineering) from the Institute of Chemical Technology  Mumbai (formerly UDCT) and my Ph. D. in Chemical Engineering from the University of Minnesota  USA. I am currently working as a DST INSPIRE Assistant Professor in the Chemical Engineering department at the Institute of Chemical Technology. I have close to 10 years of research experience split between industrial R & D and academia. My research aims at developing design  scheduling and advanced control tools for sustainable processes. Specically  I focus on economically attractive (energy) integrated and intensied processes. I was a recipient of Dr. G.P. Kane (Mumbai) University Gold Medal (2006)  presti- gious Doctoral Dissertation Fellowship from the University of Minnesota (2010-11) and Smt. Padma Kelkar Endowment Award for Encouragement to New Chemical Engineering Fac- ulty (2014). My work on control of vapor recompression distillation systems won the best presentation award at the American Control Conference (ACC) at Saint Louis  USA (2009) and the work on the analysis of tightly integrated networks was invited to be delivered as a keynote lecture in Foundations of Computer-Aided Process Design (FOCAPD) conference at Colorado  USA (2009). I intend to build a strong research group focusing on the development of exible (al- lowing for smooth transitions in dynamic market conditions)  optimal (consuming minimum material and energy resources) and resilient (robust to external disturbances and uncertain- ties) sustainable processes. My research will provide fundamental advances to the problems that are at the core of active research in process systems engineering as well as target the design and control problems identied through industry collaborations. My research will also provide a setting for the eective training of undergraduate and graduate students in fundamental research cutting across applied mathematics and control theory.","webmaster","18 May 2016 - 08:00","18 May 2016 - 08:33","Seminar/Talk","Dr. Sujit S Jogwar  Assistant Professor  ICT Mumbai.","Design  Scheduling & Control of Energy-integrated Process Systems","Room 118  Chemical Engineering","26 May 2016 - 17:00","26 May 2016 - 18:00","185"
5,"907","Prof Macosko's Talk","Start: 27 Feb 2009 - 16:00 End: 27 Feb 2009 - 18:00  The large surface area of nanoparticles can greatly increase the issolution rate of hydrophobic drugs. Moreover  nanoscale carriers can inhibit the uptake of drug particles by the reticuloendothelial system during circulation  permitting enough time for particles to localize in the leaky vasculature of tumors. We use impingement mixing and high supersaturating to create 100 nm particles via rapid precipitation. Particles are protected via block copolymers which co precipitate or are formed by fast coupling reaction during mixing. Formation of block copolymer-protected nanoparticles via reactive impingement mixing  Z.X. Zhu  J.L. Anacker  S.X. Ji  T.R. Hoye  C.W. Macosko  and R.K. Prud'homme  Langmuir  2007  23(21)  10499-10504. )   About the Speaker: Chris Macosko is Director of the Industrial Partnership for Research in Interfacial and Materials Engineering and Professor of Chemical Engineering and Materials Science at the University of Minnesota and a member of the National Academy of Engineering.  He received his B.S. from Carnegie Mellon  M.Sc. from Imperial College  London and Ph.D. from Princeton.  He has advised nearly 100 M.S. and Ph.D. students with whom he has published over 400 papers in rheology and polymer processing  particularly processing with reaction such as reaction injection molding  polyurethane foam  crosslinking and reactive compatibilization of polymer blends.  He helped to found Rheometric Scientific  now part of TA Instruments and a leading producer of rheological instruments.  His rheology textbook ""Rheology Principles  Measurements  and Applications” (Wiley  1994) is widely used. ","soumyakant","24 Feb 2009 - 10:27","24 Feb 2009 - 11:14","Seminar/Talk","Chris Macosko","Polymer Protected Nanoparticles for Drug Delivery","Creativity Hall","27 Feb 2009 - 16:00","27 Feb 2009 - 18:00","185"
6,"868","AZeotropy 2009","Start: 7 Mar 2009 - 09:00 End: 8 Mar 2009 - 23:59 Annual Chemical Engineering Festival of IIT Bombay: Enter website","admin","17 Feb 2009 - 15:47","5 Mar 2009 - 19:23","Conference/Symposium",,,,"7 Mar 2009 - 09:00","8 Mar 2009 - 23:59","185"
7,"869","Prof Mackley's Talk","Start: 27 Feb 2009 - 14:30 End: 27 Feb 2009 - 15:30 Abstract: This seminar will review recent work that has been carried out within the Polymer fluids Group developing a flexible plastic film that contains a multitude of microcapillaries. We call the material Microcapillary Film (MCF). The seminar will give the background to this unusual voided geometry and will discuss how the polymer melt extrusion process operates and how we are able to control capillary diameter in the range 0.5mm to 5 microns and how we control voidage in the range 10-70%. MCFs have a number of process applications and the use of MCFs as a microreactor and also thermal solar collector will be discussed. The geometry of the MCF could also make it an excellent candidate for membrane filtration if the matrix material had membrane characteristics.   AttachmentSize    Mumbai-ITT-seminar.pdf172.67 KB    ","p.sunthar","17 Feb 2009 - 17:10","18 Feb 2009 - 06:47","Seminar/Talk","Professor Malcolm Mackley  Department of Chemical Engineering and  Biotechnology  University of Cambridge","The processing and application of novel plastic microcapillary films","Room #118  Chemical Engineering","27 Feb 2009 - 14:30","27 Feb 2009 - 15:30","185"
8,"4980","Dr. Anand Srivastava's Talk","Start: 6 Mar 2014 - 17:00 End: 6 Mar 2014 - 18:00 Abstract Cells communicate with each other by sending and receiving signals that  are transmitted across the cell membrane using a large number of  proteins  nucleotides and macromolecules. In this talk  I will focus on  two membrane-signaling protein systems and one RNA-mediated protein  clustering system. The first protein  Bin-Amphiphysin-Rvs (BAR) domain   belongs to the class of ""/curvature-sensing/"" proteins  which can cause  dramatic deformations in cell membranes and is known to participate in  processes such as cell fusion  fission and endocytosis. The second  protein  Pleckstrin homology (PH) domain  is a ""/charge-sensing/""  protein  which originates in the cytoplasm and uses an intricate  electrostatic search mechanism to steer towards very specific-areas of  the cell surface. It then binds to a special class of rare lipid (PIPx)  and regulates important cellular processes due to this specific binding.  If time permits  I will also discuss my current work on HIV-1 systems   where I am developing ultra low-resolution coarse-grained models to  understand the process of formation of virus-like particle (VLP) and the  role of genomic-RNA as a scaffolding agent in the assembly of structural  Gag poly-protein on the membrane surface of the immature virion  Venue:Room 118  Creativity Hall  Chemical Engineering","webmaster","26 Feb 2014 - 11:51","6 Mar 2014 - 15:35","Seminar/Talk","Dr. Anand Srivastava  Department of Chemistry Center for Multiscale Theory and Simulation Institute for Biophysical Dynamics  James Franck Institute and Computation Institute The University of Chicago Chicago","Using transformative coarse-graining methods to unravel  sub-cellular and cellular processes in biological systems at multiple  length and time scales","Room 118  Creativity Hall  Chemical Engineering","6 Mar 2014 - 17:00","6 Mar 2014 - 18:00","185"
9,"873","Complex Fluids School","Start: 18 Feb 2008 - 00:00 End: 20 Feb 2008 - 23:59 The aim of this SERC School on Rheology of Complex fluids is to bring together young researchers and teachers from educational and R&D institutions and expose them to the basic concepts and research techniques used in the study of rheological behaviour of complex fluids. The lectures will be delivered by well-recognised experts from around the country who have several years of experience in the teaching  research  and industrial R&D of variousaspects of complex fluids. This course should be useful for the participants in their teaching and should also help them in undertaking research inchallenging fundamental as well as industrial problems involving complex fluids.   Enter School Website ","admin","18 Feb 2009 - 06:34","18 Feb 2009 - 10:40","SERC School/CEP Course/Workshop","Invited Speakers","SERC School/CEP Course on Rheology of Complex Fluids","Jal Vihar Guest House  IIT Bombay","18 Feb 2008 - 00:00","20 Feb 2008 - 23:59","185"
10,"876","RSS 2009","Start: 7 Feb 2009 - 08:30 End: 7 Feb 2009 - 18:00  The Department of Chemical Engineering  IIT Bombay is organizing a one-day research symposium on Saturday 7th February  2009. The Research Scholars' Symposium is being organized by the PhD students of the department with a view to represent R&D activities of the department through oral and poster presentation.   The Symposium also intends to act as a platform for industry-academia interaction.   The major areas of research are      			 Biochemical Engineering      Colloidal and Interface Science  		  			 Process System Engineering      Polymer science and Engineering  		  			 Transport Phenomena      Reaction Engineering  		     The symposium will involve oral presentations by the graduating PhD students on their thesis topic and the rest will give poster presentation. Futher  this year symposium shall include an expo  where the industry people are invited to display their products and services to the entire IITB community. ","meena_m_n","18 Feb 2009 - 11:05","18 Feb 2009 - 11:05","Conference/Symposium","Research Scholars","Research Scholars' Symposium 2009","IRCC Auditorium","7 Feb 2009 - 08:30","7 Feb 2009 - 18:00","185"
