"id","nid","title","body","author_name","created_time","updated_time"
1,"34","Department has a New Website","The department website is under migration to a new system under Drupal.  You can find information in this site by various convenient means.  Search box (fastest) ""Information For""  categories on the main page (relevant) Navigation menu on the TOP and LHS (organised) Popular Content Menu on the RHS (favorite)   If you do not find what you were looking for  you may also consult the older website (2008) which can be accessed from the following link    Click here for Older Website of Chemical Engineering  Drupal is a content management system  which uses  databases and scripts (programs) to generate the HTML pages on-the-fly. The main advantages for shifting to this system (in comparison to a plain HTML/CSS based systems) for our department are:   Much better organisation  collation  and presentation of information  such as lists of students  faculty  staff  publications.  Content providers (users such as Faculty and Students) can directly edit contents  without bothering about formatting and HTML.  Uniformity of web pages  and easily modifyable themes (look and feel) of the website. (If you are a web page display expert  and know CSS  we welcome you to provide new eye catching and optimised themes)  ‹ Devang Khakhar takes over as Director","admin","29 May 2007 - 11:31","3 Mar 2009 - 15:46"
2,"96","Devang Khakhar takes over as Director","Prof. Devang V Khakhar of Chemical Engineering takes over as the Director of IIT Bombay from January 2009.    ‹ Chandra Venkatraman gets Rakesh Mathur Award","admin","6 Jan 2009 - 17:12","20 May 2009 - 13:13"
3,"929","Chandra Venkatraman gets Rakesh Mathur Award","Prof. Chandra Venkatraman has been selected for IIT Bombay instituted Rakesh Mathur Award for research excellence for the year 2008. She has been selected for  the Prof. H.H. Mathur Award for Excellence in Applied Sciences. The awards will be given on the Foundation day function of our Institute (12th March  2009).‹ New Website for the Department Devang Khakhar takes over as Director ›","soumyakant","2 Mar 2009 - 16:05","20 May 2009 - 13:12"
4,"932","New Website for the Department"," The department's website is under migration to a new system under Drupal. You can find information in this site by various convenient means.   Search box (fastest) ""Information For""  categories on the main page (relevant) Navigation menu (Information About) on the TOP and LHS (organised)  Quick Links on the RHS (favorite)   If you do not find what you were looking for  you may also consult the older website (2008) which can be accessed from the following link    Click here for Older Website of Chemical Engineering   Drupal is a content management system  which uses  databases and scripts (programs) to generate the HTML pages on-the-fly. The main advantages for shifting to this system (in comparison to a plain HTML/CSS based systems) for our department are:   Much better organisation  collation  and presentation of information  such as lists of students  faculty  staff  publications.  Content providers (users such as Faculty and Students) can directly edit contents  without bothering about formatting and HTML.  Uniformity of web pages  and easily modifyable themes (look and 	feel) of the website. (If you are a web page display expert  and know CSS  we welcome you to provide new eye catching and optimised themes)  ‹ M.Tech and PhD Application Chandra Venkatraman gets Rakesh Mathur Award ›","admin","3 Mar 2009 - 15:40","12 Oct 2010 - 23:56"
5,"1877","Herdillia Award","Prof Ravindra Gudi has been  selected for the prestigious Herdillia award for Excellence in basic  Research  by the Indian Institute of Chemical Engineers. The award  will be conferred in IIChE's annual meeting in December 2009.‹ Silver medal in iGEM 2009 INAE Fellows ›","admin","20 Oct 2009 - 04:03","20 Oct 2009 - 04:11"
6,"1168","M.Tech and PhD Application","Online applications for admissions to M.Tech and PhD programmes for the academic year commencing July 2009 are available here.‹ Rajdip Bandyopadhyay elected a member of NASI New Website for the Department ›","admin","8 Apr 2009 - 01:18","20 May 2009 - 13:12"
7,"1423","Rajdip Bandyopadhyay elected a member of NASI","The council of the National Academy of Sciences  India (NASI)   in its recent meeting has enrolled Prof Rajdip Bandyopadhyay (Dept of Chem. Engg)  as a member of the Academy.‹ Best Poster Award M.Tech and PhD Application ›","admin","3 Jun 2009 - 21:54","7 Aug 2009 - 09:36"
8,"1904","IIChE Award for Students","Three students   Nirmalya Bachhar  Ankush Pal  and Saurabh Kumar Tiwari  currently pursuing PhD in this department have been selected for IIChE Ambuja's Young Researcher's Awards for doing Post-Graduate Studies in India after GATE Examination.  The Award carries Rs. 10 000/- and a certificate. The Awards will be presented during the inaugural day of the 62-nd Annual Session-cum-Indian Chemical Engineering Congress (Chemcon 2009)  at Visakhapatnam.‹ Green Engineering & Chemistry Awareness Workshop Prof Kartic Khilar passes away ›","admin","24 Nov 2009 - 05:06","24 Nov 2009 - 05:21"
9,"1862","Best Poster Award","C. Ravikumar (working with Prof Rajdip Bandyopadhyay) won a best poster award  based on his short oral presentation and poster at the Fourth Asian Particle Technology Symposium (APT 2009)  held in New Delhi from 14 to 16 September 2009.‹ INAE Fellows Rajdip Bandyopadhyay elected a member of NASI ›","admin","18 Sep 2009 - 05:34","1 Oct 2009 - 17:06"
10,"1866","INAE Fellows","Profs. Santosh Gupta and Anurag Mehra have been elected as Fellows of the Indian National Academy of Engineering.  ‹ Herdillia Award Best Poster Award ›","admin","1 Oct 2009 - 17:06","3 Oct 2009 - 03:43"
